"Title","requirementcode","rolecode","itemcode","iscustom","statement","pillarcode","categorycode","isrequired","iscritical","note","sortorder"
"Demonstrated leadership in managing large...","REQ-ROLE-TRANSIT-001-t1a","ROLE-TRANSIT-001","t1a","No","Demonstrated leadership in managing large multi-discipline complex projects over X years.","NUCLEAR-TECH","NUCLEAR-TECH-YEARS-OF-EXPERIENCE","Yes","Yes","","1"
"Significant experience with infrastructure and/or energy...","REQ-ROLE-TRANSIT-001-t1b","ROLE-TRANSIT-001","t1b","No","Significant experience with infrastructure and/or energy projects.","NUCLEAR-TECH","NUCLEAR-TECH-YEARS-OF-EXPERIENCE","Yes","Yes","","2"
"Strong technical knowledge across all phases: design,...","REQ-ROLE-TRANSIT-001-t2a","ROLE-TRANSIT-001","t2a","No","Strong technical knowledge across all phases: design, planning, construction, commissioning, operations, and maintenance.","NUCLEAR-TECH","NUCLEAR-TECH-TECHNICAL-CAPABILITY-AND-AREA-OF","Yes","Yes","","3"
"Mass excavation, grading, and tunneling","REQ-ROLE-TRANSIT-001-t2b","ROLE-TRANSIT-001","t2b","No","Mass excavation, grading, and tunneling","NUCLEAR-TECH","NUCLEAR-TECH-TECHNICAL-CAPABILITY-AND-AREA-OF","Yes","Yes","","4"
"Experience constructing power plants, nuclear power...","REQ-ROLE-TRANSIT-001-t3a","ROLE-TRANSIT-001","t3a","No","Experience constructing power plants, nuclear power plants an asset","NUCLEAR-TECH","NUCLEAR-TECH-SPECIFIC-PROJECT-EXPERIENCE","Yes","No","","5"
"Experience constructing nuclear island, conventional...","REQ-ROLE-TRANSIT-001-t3b","ROLE-TRANSIT-001","t3b","No","Experience constructing nuclear island, conventional island, site infrastructure, deep water intakes, switch yards, support buildings.  Not all may be possible, but some combination would be essential.","NUCLEAR-TECH","NUCLEAR-TECH-SPECIFIC-PROJECT-EXPERIENCE","Yes","No","","6"
"Provides timely, relevant, and solution-oriented updates...","REQ-ROLE-TRANSIT-001-c1a","ROLE-TRANSIT-001","c1a","No","Provides timely, relevant, and solution-oriented updates to senior executives and internal leadership.","NUCLEAR-COMP","NUCLEAR-COMP-MANAGING-UP","Yes","No","","7"
"Comfortable briefing executives on both opportunities...","REQ-ROLE-TRANSIT-001-c1b","ROLE-TRANSIT-001","c1b","No","Comfortable briefing executives on both opportunities and challenges, including delivery risks and mitigation plans.","NUCLEAR-COMP","NUCLEAR-COMP-MANAGING-UP","Yes","No","","8"
"Ability to foster a positive and productive work...","REQ-ROLE-TRANSIT-001-c2a","ROLE-TRANSIT-001","c2a","No","Ability to foster a positive and productive work environment for the team, remaining resilient through difficult times and energizing the team to stay engaged.","NUCLEAR-COMP","NUCLEAR-COMP-CREATING-POSITIVE-AND-INCLUSIVE-","Yes","No","","9"
"Creates a psychologically safe team environment where...","REQ-ROLE-TRANSIT-001-c2b","ROLE-TRANSIT-001","c2b","No","Creates a psychologically safe team environment where open communication, feedback, and mutual respect are consistently encouraged.","NUCLEAR-COMP","NUCLEAR-COMP-CREATING-POSITIVE-AND-INCLUSIVE-","Yes","No","","10"
"Extensive experience in managing [large-scale /...","REQ-ROLE-TRANSIT-001-c3a","ROLE-TRANSIT-001","c3a","No","Extensive experience in managing [large-scale / medium-scale] EPC projects with a team of X direct reports, functional support and sub-contractors.","NUCLEAR-COMP","NUCLEAR-COMP-BUILDING-HIGH-PERFORMING-TEAMS","Yes","No","","11"
"Ability to convey project vision to the team and keep it...","REQ-ROLE-TRANSIT-001-c3b","ROLE-TRANSIT-001","c3b","No","Ability to convey project vision to the team and keep it alive through the ups and downs of a multi-year project.","NUCLEAR-COMP","NUCLEAR-COMP-BUILDING-HIGH-PERFORMING-TEAMS","Yes","No","","12"
