"Title","itemcode","categorycode","pillarcode","guidecode","statement","defaultrequired","defaultcritical","sortorder"
"Demonstrated leadership in managing large...","t1a","NUCLEAR-TECH-YEARS-OF-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Demonstrated leadership in managing large multi-discipline complex projects over X years.","Yes","No","1"
"Significant experience with infrastructure and/or energy...","t1b","NUCLEAR-TECH-YEARS-OF-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Significant experience with infrastructure and/or energy projects.","Yes","No","2"
"Depth in civil works, earthworks, utilities, mechanical,...","t1c","NUCLEAR-TECH-YEARS-OF-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Depth in civil works, earthworks, utilities, mechanical, electrical, I&C","Yes","No","3"
"Strong safety culture","t1d","NUCLEAR-TECH-YEARS-OF-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Strong safety culture","Yes","No","4"
"Proven experience leading large diverse team","t1e","NUCLEAR-TECH-YEARS-OF-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Proven experience leading large diverse team","Yes","No","5"
"Strong technical knowledge across all phases: design,...","t2a","NUCLEAR-TECH-TECHNICAL-CAPABILITY-AND-AREA-OF","NUCLEAR-TECH","NUCLEAR","Strong technical knowledge across all phases: design, planning, construction, commissioning, operations, and maintenance.","Yes","No","1"
"Mass excavation, grading, and tunneling","t2b","NUCLEAR-TECH-TECHNICAL-CAPABILITY-AND-AREA-OF","NUCLEAR-TECH","NUCLEAR","Mass excavation, grading, and tunneling","Yes","No","2"
"Power Plant construction and/or refurbishment","t2c","NUCLEAR-TECH-TECHNICAL-CAPABILITY-AND-AREA-OF","NUCLEAR-TECH","NUCLEAR","Power Plant construction and/or refurbishment","Yes","No","3"
"Nuclear Power plant experience would be an asset","t2d","NUCLEAR-TECH-TECHNICAL-CAPABILITY-AND-AREA-OF","NUCLEAR-TECH","NUCLEAR","Nuclear Power plant experience would be an asset","Yes","No","4"
"Construction in highly regulated environment","t2e","NUCLEAR-TECH-TECHNICAL-CAPABILITY-AND-AREA-OF","NUCLEAR-TECH","NUCLEAR","Construction in highly regulated environment","Yes","No","5"
"Sound understanding of integrated civil, mechanical, and...","t2f","NUCLEAR-TECH-TECHNICAL-CAPABILITY-AND-AREA-OF","NUCLEAR-TECH","NUCLEAR","Sound understanding of integrated civil, mechanical, and electrical systems.","Yes","No","6"
"Experience leading multidisciplinary teams across joint...","t2g","NUCLEAR-TECH-TECHNICAL-CAPABILITY-AND-AREA-OF","NUCLEAR-TECH","NUCLEAR","Experience leading multidisciplinary teams across joint ventures, interfacing with other consortiums and recognizing commercial impacts.","Yes","No","7"
"Engineer, having a good understanding of power plant...","t2h","NUCLEAR-TECH-TECHNICAL-CAPABILITY-AND-AREA-OF","NUCLEAR-TECH","NUCLEAR","Engineer, having a good understanding of power plant construction","Yes","No","8"
"Excellent command of EPC and/or IPD delivery models,...","t2i","NUCLEAR-TECH-TECHNICAL-CAPABILITY-AND-AREA-OF","NUCLEAR-TECH","NUCLEAR","Excellent command of EPC and/or IPD delivery models, commercial matters, and budget control. In particular, good understanding of impacts of design on construction costs.","Yes","No","9"
"Demonstrated technical expertise in managing complex...","t2j","NUCLEAR-TECH-TECHNICAL-CAPABILITY-AND-AREA-OF","NUCLEAR-TECH","NUCLEAR","Demonstrated technical expertise in managing complex multi-disciplinary teams, including LR, Safety, Finance, HR, and Project Staff.","Yes","No","10"
"Proficient in using processes and systems to measure...","t2k","NUCLEAR-TECH-TECHNICAL-CAPABILITY-AND-AREA-OF","NUCLEAR-TECH","NUCLEAR","Proficient in using processes and systems to measure project success and anticipate issues in terms of schedule, cost, quality, and safety.","Yes","No","11"
"Knowledge of Continuous Improvement, OPEX and their...","t2l","NUCLEAR-TECH-TECHNICAL-CAPABILITY-AND-AREA-OF","NUCLEAR-TECH","NUCLEAR","Knowledge of Continuous Improvement, OPEX and their impact on project performance","Yes","No","12"
"Experience constructing power plants, nuclear power...","t3a","NUCLEAR-TECH-SPECIFIC-PROJECT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Experience constructing power plants, nuclear power plants an asset","Yes","No","1"
"Experience constructing nuclear island, conventional...","t3b","NUCLEAR-TECH-SPECIFIC-PROJECT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Experience constructing nuclear island, conventional island, site infrastructure, deep water intakes, switch yards, support buildings.  Not all may be possible, but some combination would be essential.","Yes","No","2"
"Working in a highly regulated environment like nuclear,...","t3c","NUCLEAR-TECH-SPECIFIC-PROJECT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Working in a highly regulated environment like nuclear, oil and gas, mining is critical to the role","Yes","No","3"
"Experience with and understanding their contract models...","t3d","NUCLEAR-TECH-SPECIFIC-PROJECT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Experience with and understanding their contract models with specifications.","Yes","No","4"
"Led specific segments, valued at specified amounts.","t3e","NUCLEAR-TECH-SPECIFIC-PROJECT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Led specific segments, valued at specified amounts.","Yes","No","5"
"Leadership experience in delivering similar projects.","t3f","NUCLEAR-TECH-SPECIFIC-PROJECT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Leadership experience in delivering similar projects.","Yes","No","6"
"Knowledge in the use of Hit Teams to address issues quickly","t3g","NUCLEAR-TECH-SPECIFIC-PROJECT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Knowledge in the use of Hit Teams to address issues quickly","Yes","No","7"
"Led complex projects from initiation to completion,...","t3h","NUCLEAR-TECH-SPECIFIC-PROJECT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Led complex projects from initiation to completion, including joint venture projects as both lead and minority partner.","Yes","No","8"
"Understanding and delivery of indigenous engagement...","t4a","NUCLEAR-TECH-INDIGENOUS-ENGAGEMENT","NUCLEAR-TECH","NUCLEAR","Understanding and delivery of indigenous engagement requirements and commitments.","Yes","No","1"
"Experience with indigenous relations in specific locations.","t4b","NUCLEAR-TECH-INDIGENOUS-ENGAGEMENT","NUCLEAR-TECH","NUCLEAR","Experience with indigenous relations in specific locations.","Yes","No","2"
"Engaged meaningfully with indigenous partners and...","t4c","NUCLEAR-TECH-INDIGENOUS-ENGAGEMENT","NUCLEAR-TECH","NUCLEAR","Engaged meaningfully with indigenous partners and communities during field visits, implementing insights and learnings.","Yes","No","3"
"Understanding of environmental impacts including...","t5a","NUCLEAR-TECH-ENVIRONMENTAL-IMPACT-AND-SUSTAIN","NUCLEAR-TECH","NUCLEAR","Understanding of environmental impacts including sustainability practices.","Yes","No","1"
"Addressed environmental impact and sustainability...","t5b","NUCLEAR-TECH-ENVIRONMENTAL-IMPACT-AND-SUSTAIN","NUCLEAR-TECH","NUCLEAR","Addressed environmental impact and sustainability concerns in project planning and execution.","Yes","No","2"
"Ability to balance schedule, operations, production with...","t5c","NUCLEAR-TECH-ENVIRONMENTAL-IMPACT-AND-SUSTAIN","NUCLEAR-TECH","NUCLEAR","Ability to balance schedule, operations, production with sensitive environmental requirements.","Yes","No","3"
"Knowledge of impacts from having worked in a nuclear...","t5d","NUCLEAR-TECH-ENVIRONMENTAL-IMPACT-AND-SUSTAIN","NUCLEAR-TECH","NUCLEAR","Knowledge of impacts from having worked in a nuclear environment would be an asset","Yes","No","4"
"Experience with specific contract types, EPC, IPD","t6a","NUCLEAR-TECH-CLAIMS-AND-CONTRACT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Experience with specific contract types, EPC, IPD","Yes","No","1"
"Experience working in a collaborative environment","t6b","NUCLEAR-TECH-CLAIMS-AND-CONTRACT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Experience working in a collaborative environment","Yes","No","2"
"Experience managing critical schedule milestones.","t6c","NUCLEAR-TECH-CLAIMS-AND-CONTRACT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Experience managing critical schedule milestones.","Yes","No","3"
"Familiarity with target price, progressive design-build,...","t6d","NUCLEAR-TECH-CLAIMS-AND-CONTRACT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Familiarity with target price, progressive design-build, and cost-plus contract models.","Yes","No","4"
"Strong handle of claims and providing notice.","t6e","NUCLEAR-TECH-CLAIMS-AND-CONTRACT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Strong handle of claims and providing notice.","Yes","No","5"
"Successfully navigated claims processes, resulting in...","t6f","NUCLEAR-TECH-CLAIMS-AND-CONTRACT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Successfully navigated claims processes, resulting in positive financial outcomes for the contractor.","Yes","No","6"
"Experience with various contract models, including...","t6g","NUCLEAR-TECH-CLAIMS-AND-CONTRACT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Experience with various contract models, including progressive design-build, CMGC, GCCM, and CMAR.","Yes","No","7"
"Managed change order requests, ensuring compliance with...","t6h","NUCLEAR-TECH-CLAIMS-AND-CONTRACT-EXPERIENCE","NUCLEAR-TECH","NUCLEAR","Managed change order requests, ensuring compliance with contractual obligations.","Yes","No","8"
"Ability to participate and lead constructability reviews.","t7a","NUCLEAR-TECH-CONSTRUCTABILITY-REVIEWS","NUCLEAR-TECH","NUCLEAR","Ability to participate and lead constructability reviews.","Yes","No","1"
"Conducted thorough constructability reviews to ensure...","t7b","NUCLEAR-TECH-CONSTRUCTABILITY-REVIEWS","NUCLEAR-TECH","NUCLEAR","Conducted thorough constructability reviews to ensure project feasibility and efficiency.","Yes","No","2"
"Knowledge of fit for purpose, design to cost, working...","t7c","NUCLEAR-TECH-CONSTRUCTABILITY-REVIEWS","NUCLEAR-TECH","NUCLEAR","Knowledge of fit for purpose, design to cost, working closely with designers, OEM’s other partners","Yes","No","3"
"Ability to manage designers, design schedules, and...","t8a","NUCLEAR-TECH-DESIGN-MANAGEMENT","NUCLEAR-TECH","NUCLEAR","Ability to manage designers, design schedules, and design creep – ability to identify quantity growth in the design, and understanding how that impacts construction, cost, etc.","Yes","No","1"
"Ability to develop and implement design and construction...","t8b","NUCLEAR-TECH-DESIGN-MANAGEMENT","NUCLEAR-TECH","NUCLEAR","Ability to develop and implement design and construction plans that maximize efficiency of human resources, equipment, and resources.","Yes","No","2"
"Managed design processes and ensured alignment with...","t8c","NUCLEAR-TECH-DESIGN-MANAGEMENT","NUCLEAR-TECH","NUCLEAR","Managed design processes and ensured alignment with project goals and stakeholder expectations.","Yes","No","3"
"Certified in project management, sustainability, or...","t9a","NUCLEAR-TECH-EDUCATION-AND-CERTIFICATIONS","NUCLEAR-TECH","NUCLEAR","Certified in project management, sustainability, or contract law as appropriate.","Yes","No","1"
"Committed to continuous professional development and...","t9b","NUCLEAR-TECH-EDUCATION-AND-CERTIFICATIONS","NUCLEAR-TECH","NUCLEAR","Committed to continuous professional development and adherence to industry best practices.","Yes","No","2"
"Completion of PMA or equivalent internal training...","t9c","NUCLEAR-TECH-EDUCATION-AND-CERTIFICATIONS","NUCLEAR-TECH","NUCLEAR","Completion of PMA or equivalent internal training frameworks.","Yes","No","3"
"Graduate of specific programs.","t9d","NUCLEAR-TECH-EDUCATION-AND-CERTIFICATIONS","NUCLEAR-TECH","NUCLEAR","Graduate of specific programs.","Yes","No","4"
"Understanding of quality assurance and control processes.","t10a","NUCLEAR-TECH-QUALITY-ASSURANCE-AND-CONTROL","NUCLEAR-TECH","NUCLEAR","Understanding of quality assurance and control processes.","Yes","No","1"
"Ensured compliance with QA/QC standards and regulatory...","t10b","NUCLEAR-TECH-QUALITY-ASSURANCE-AND-CONTROL","NUCLEAR-TECH","NUCLEAR","Ensured compliance with QA/QC standards and regulatory frameworks.","Yes","No","2"
"Ability to ensure compliance with industry standards and...","t10c","NUCLEAR-TECH-QUALITY-ASSURANCE-AND-CONTROL","NUCLEAR-TECH","NUCLEAR","Ability to ensure compliance with industry standards and regulations.","Yes","No","3"
"Experience in implementing quality assurance and control...","t10d","NUCLEAR-TECH-QUALITY-ASSURANCE-AND-CONTROL","NUCLEAR-TECH","NUCLEAR","Experience in implementing quality assurance and control measures to ensure project standards are met.","Yes","No","4"
"Experience with innovative construction techniques and...","t11a","NUCLEAR-TECH-TECHNOLOGY","NUCLEAR-TECH","NUCLEAR","Experience with innovative construction techniques and technologies.","Yes","No","1"
"Proficiency in BIM/Civil 3D/digital delivery environments.","t11b","NUCLEAR-TECH-TECHNOLOGY","NUCLEAR-TECH","NUCLEAR","Proficiency in BIM/Civil 3D/digital delivery environments.","Yes","No","2"
"Ability to integrate new technologies into project...","t11c","NUCLEAR-TECH-TECHNOLOGY","NUCLEAR-TECH","NUCLEAR","Ability to integrate new technologies into project workflows.","Yes","No","3"
"Experience in leveraging technology and systems to...","t11d","NUCLEAR-TECH-TECHNOLOGY","NUCLEAR-TECH","NUCLEAR","Experience in leveraging technology and systems to improve project outcomes.","Yes","No","4"
"Experience in monitoring and approaching cost overruns...","t12a","NUCLEAR-TECH-FINANCIAL-MANAGEMENT","NUCLEAR-TECH","NUCLEAR","Experience in monitoring and approaching cost overruns and budget challenges effectively.","Yes","No","1"
"Strong understanding of cost estimation, forecasting,...","t12b","NUCLEAR-TECH-FINANCIAL-MANAGEMENT","NUCLEAR-TECH","NUCLEAR","Strong understanding of cost estimation, forecasting, and budget control.","Yes","No","2"
"Experienced in monitoring cost overruns, implementing...","t12c","NUCLEAR-TECH-FINANCIAL-MANAGEMENT","NUCLEAR-TECH","NUCLEAR","Experienced in monitoring cost overruns, implementing mitigation strategies, and ensuring fiscal accountability.","Yes","No","3"
"Skilled in aligning financial planning with commercial...","t12d","NUCLEAR-TECH-FINANCIAL-MANAGEMENT","NUCLEAR-TECH","NUCLEAR","Skilled in aligning financial planning with commercial risk management.","Yes","No","4"
"Experience in monitoring and approaching schedule...","t13a","NUCLEAR-TECH-SCHEDULE-MANAGEMENT","NUCLEAR-TECH","NUCLEAR","Experience in monitoring and approaching schedule challenges effectively.","Yes","No","1"
"Strong understanding of scheduling, critical path,...","t13b","NUCLEAR-TECH-SCHEDULE-MANAGEMENT","NUCLEAR-TECH","NUCLEAR","Strong understanding of scheduling, critical path, forecasting, performance indicators","Yes","No","2"
